runs, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52
100, 1, 0, 1, 0, 9, 0, 4, 0, 8, 0, 8, 0, 15, 0, 11, 0, 7, 0, 7, 0, 11, 0, 5, 0, 5, 0, 6, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 2, 0, 6, 0, 20, 0, 10, 0, 16, 0, 20, 0, 25, 0, 21, 0, 17, 0, 14, 0, 17, 0, 9, 0, 6, 0, 9, 0, 3, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, 3, 0, 9, 0, 26, 0, 23, 0, 25, 0, 34, 0, 30, 0, 27, 0, 29, 0, 22, 0, 29, 0, 14, 0, 9, 0, 11, 0, 3, 0, 1, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, 4, 0, 13, 0, 30, 0, 34, 0, 39, 0, 41, 0, 38, 0, 33, 0, 36, 0, 33, 0, 34, 0, 23, 0, 13, 0, 15, 0, 4, 0, 2, 0, 4, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, 5, 0, 16, 0, 38, 0, 46, 0, 48, 0, 47, 0, 52, 0, 49, 0, 44, 0, 39, 0, 39, 0, 26, 0, 14, 0, 19, 0, 5, 0, 4, 0, 4, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
600, 6, 0, 20, 0, 48, 0, 53, 0, 61, 0, 59, 0, 65, 0, 62, 0, 48, 0, 47, 0, 43, 0, 30, 0, 16, 0, 19, 0, 5, 0, 6, 0, 5, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
700, 6, 0, 23, 0, 55, 0, 59, 0, 76, 0, 67, 0, 77, 0, 71, 0, 61, 0, 53, 0, 48, 0, 37, 0, 16, 0, 23, 0, 8, 0, 7, 0, 6, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
800, 6, 0, 24, 0, 68, 0, 68, 0, 87, 0, 85, 0, 88, 0, 75, 0, 69, 0, 57, 0, 58, 0, 37, 0, 23, 0, 23, 0, 9, 0, 9, 0, 7, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
900, 6, 0, 24, 0, 79, 0, 79, 0, 91, 0, 88, 0, 102, 0, 87, 0, 79, 0, 68, 0, 65, 0, 42, 0, 30, 0, 24, 0, 11, 0, 9, 0, 8, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1000, 7, 0, 28, 0, 87, 0, 85, 0, 104, 0, 98, 0, 109, 0, 95, 0, 95, 0, 74, 0, 70, 0, 48, 0, 33, 0, 26, 0, 14, 0, 10, 0, 8, 0, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2000, 17, 0, 81, 0, 170, 0, 170, 0, 189, 0, 202, 0, 212, 0, 171, 0, 175, 0, 162, 0, 136, 0, 109, 0, 68, 0, 53, 0, 33, 0, 24, 0, 12, 0, 10, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3000, 26, 0, 117, 0, 247, 0, 282, 0, 297, 0, 298, 0, 299, 0, 248, 0, 252, 0, 241, 0, 199, 0, 169, 0, 120, 0, 76, 0, 48, 0, 35, 0, 20, 0, 13, 0, 7, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4000, 29, 0, 165, 0, 337, 0, 370, 0, 403, 0, 392, 0, 397, 0, 353, 0, 335, 0, 319, 0, 262, 0, 209, 0, 159, 0, 92, 0, 68, 0, 50, 0, 29, 0, 16, 0, 9, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5000, 36, 0, 203, 0, 414, 0, 478, 0, 502, 0, 472, 0, 498, 0, 440, 0, 419, 0, 388, 0, 321, 0, 269, 0, 209, 0, 131, 0, 83, 0, 63, 0, 36, 0, 21, 0, 9, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6000, 41, 0, 258, 0, 483, 0, 586, 0, 596, 0, 576, 0, 598, 0, 531, 0, 501, 0, 461, 0, 375, 0, 317, 0, 254, 0, 163, 0, 100, 0, 74, 0, 42, 0, 25, 0, 10, 0, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7000, 49, 0, 308, 0, 563, 0, 674, 0, 690, 0, 681, 0, 703, 0, 622, 0, 585, 0, 530, 0, 441, 0, 367, 0, 289, 0, 199, 0, 118, 0, 83, 0, 45, 0, 28, 0, 16, 0, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8000, 57, 0, 357, 0, 649, 0, 765, 0, 785, 0, 765, 0, 795, 0, 711, 0, 679, 0, 607, 0, 507, 0, 429, 0, 325, 0, 223, 0, 136, 0, 94, 0, 54, 0, 33, 0, 18, 0, 9, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9000, 61, 0, 404, 0, 724, 0, 858, 0, 883, 0, 851, 0, 911, 0, 816, 0, 762, 0, 674, 0, 573, 0, 487, 0, 358, 0, 240, 0, 158, 0, 106, 0, 64, 0, 38, 0, 20, 0, 10, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10000, 68, 0, 442, 0, 805, 0, 947, 0, 991, 0, 955, 0, 1012, 0, 909, 0, 852, 0, 742, 0, 631, 0, 532, 0, 398, 0, 265, 0, 178, 0, 123, 0, 74, 0, 39, 0, 23, 0, 12, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20000, 141, 0, 876, 0, 1630, 0, 1903, 0, 2045, 0, 1950, 0, 1901, 0, 1846, 0, 1644, 0, 1480, 0, 1268, 0, 1046, 0, 783, 0, 537, 0, 380, 0, 269, 0, 143, 0, 87, 0, 43, 0, 20, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30000, 208, 0, 1338, 0, 2411, 0, 2858, 0, 3049, 0, 2969, 0, 2907, 0, 2746, 0, 2468, 0, 2232, 0, 1896, 0, 1529, 0, 1178, 0, 803, 0, 570, 0, 397, 0, 208, 0, 120, 0, 66, 0, 34, 0, 10, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
40000, 274, 0, 1771, 0, 3197, 0, 3824, 0, 4030, 0, 3927, 0, 3882, 0, 3688, 0, 3367, 0, 2989, 0, 2515, 0, 2019, 0, 1549, 0, 1084, 0, 778, 0, 522, 0, 279, 0, 156, 0, 87, 0, 45, 0, 12, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
50000, 346, 0, 2228, 0, 4000, 0, 4783, 0, 5015, 0, 4927, 0, 4818, 0, 4637, 0, 4224, 0, 3752, 0, 3113, 0, 2530, 0, 1952, 0, 1338, 0, 951, 0, 654, 0, 357, 0, 183, 0, 113, 0, 55, 0, 18, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
60000, 413, 0, 2719, 0, 4784, 0, 5696, 0, 5960, 0, 5944, 0, 5807, 0, 5576, 0, 5099, 0, 4459, 0, 3733, 0, 3063, 0, 2331, 0, 1613, 0, 1134, 0, 765, 0, 427, 0, 232, 0, 146, 0, 66, 0, 27, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
70000, 483, 0, 3178, 0, 5596, 0, 6653, 0, 6963, 0, 6971, 0, 6779, 0, 6517, 0, 5902, 0, 5160, 0, 4373, 0, 3563, 0, 2709, 0, 1893, 0, 1313, 0, 882, 0, 506, 0, 271, 0, 171, 0, 75, 0, 33, 0, 5, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0
80000, 552, 0, 3616, 0, 6420, 0, 7619, 0, 8000, 0, 7984, 0, 7770, 0, 7445, 0, 6775, 0, 5883, 0, 4973, 0, 4048, 0, 3059, 0, 2141, 0, 1507, 0, 983, 0, 592, 0, 311, 0, 195, 0, 81, 0, 37, 0, 5, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0
90000, 614, 0, 4079, 0, 7210, 0, 8608, 0, 9040, 0, 9008, 0, 8744, 0, 8356, 0, 7631, 0, 6593, 0, 5590, 0, 4531, 0, 3422, 0, 2393, 0, 1693, 0, 1110, 0, 659, 0, 357, 0, 217, 0, 89, 0, 43, 0, 6, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0
100000, 686, 0, 4524, 0, 7941, 0, 9513, 0, 10043, 0, 9976, 0, 9788, 0, 9271, 0, 8472, 0, 7341, 0, 6216, 0, 5067, 0, 3802, 0, 2698, 0, 1890, 0, 1222, 0, 742, 0, 402, 0, 239, 0, 103, 0, 49, 0, 6, 0, 4, 0, 5, 0, 0, 0, 0, 0, 0
200000, 1420, 0, 9065, 0, 15832, 0, 18912, 0, 19851, 0, 19946, 0, 19625, 0, 18603, 0, 17073, 0, 14860, 0, 12508, 0, 10108, 0, 7421, 0, 5439, 0, 3818, 0, 2425, 0, 1490, 0, 815, 0, 440, 0, 218, 0, 99, 0, 18, 0, 9, 0, 5, 0, 0, 0, 0, 0, 0
300000, 2146, 0, 13664, 0, 23953, 0, 28300, 0, 29618, 0, 29845, 0, 29462, 0, 27991, 0, 25494, 0, 22356, 0, 18660, 0, 15114, 0, 11222, 0, 8207, 0, 5676, 0, 3653, 0, 2245, 0, 1199, 0, 686, 0, 311, 0, 140, 0, 37, 0, 15, 0, 6, 0, 0, 0, 0, 0, 0
400000, 2795, 0, 18159, 0, 32020, 0, 37767, 0, 39358, 0, 39694, 0, 39273, 0, 37268, 0, 34041, 0, 29923, 0, 24900, 0, 20297, 0, 14881, 0, 11047, 0, 7597, 0, 4859, 0, 2961, 0, 1604, 0, 873, 0, 406, 0, 185, 0, 62, 0, 23, 0, 7, 0, 0, 0, 0, 0, 0
500000, 3551, 0, 22804, 0, 40168, 0, 47158, 0, 49123, 0, 49713, 0, 49055, 0, 46555, 0, 42594, 0, 37458, 0, 31047, 0, 25240, 0, 18677, 0, 13791, 0, 9457, 0, 6047, 0, 3646, 0, 2030, 0, 1076, 0, 476, 0, 221, 0, 75, 0, 28, 0, 10, 0, 0, 0, 0, 0, 0
600000, 4249, 0, 27391, 0, 48262, 0, 56453, 0, 58875, 0, 59789, 0, 59061, 0, 55846, 0, 50987, 0, 44810, 0, 37249, 0, 30194, 0, 22535, 0, 16594, 0, 11338, 0, 7239, 0, 4424, 0, 2442, 0, 1294, 0, 566, 0, 259, 0, 97, 0, 33, 0, 13, 0, 0, 0, 0, 0, 0
700000, 4947, 0, 31993, 0, 56231, 0, 65976, 0, 68665, 0, 69946, 0, 68963, 0, 65230, 0, 59440, 0, 52116, 0, 43456, 0, 35065, 0, 26310, 0, 19295, 0, 13244, 0, 8473, 0, 5178, 0, 2858, 0, 1499, 0, 659, 0, 292, 0, 113, 0, 38, 0, 13, 0, 0, 0, 0, 0, 0
800000, 5615, 0, 36549, 0, 64283, 0, 75408, 0, 78716, 0, 79974, 0, 78726, 0, 74514, 0, 67777, 0, 59618, 0, 49692, 0, 39987, 0, 30096, 0, 22033, 0, 15087, 0, 9766, 0, 5925, 0, 3251, 0, 1708, 0, 746, 0, 345, 0, 130, 0, 41, 0, 13, 0, 0, 0, 0, 0, 0
900000, 6291, 0, 41163, 0, 72213, 0, 84820, 0, 88571, 0, 89895, 0, 88739, 0, 83762, 0, 76404, 0, 66924, 0, 55964, 0, 45011, 0, 33865, 0, 24777, 0, 16976, 0, 10977, 0, 6685, 0, 3620, 0, 1917, 0, 832, 0, 380, 0, 148, 0, 52, 0, 13, 0, 1, 0, 0, 0, 0
1000000, 7022, 0, 45812, 0, 80264, 0, 94223, 0, 98327, 0, 99879, 0, 98601, 0, 93129, 0, 84851, 0, 74227, 0, 62218, 0, 50013, 0, 37673, 0, 27563, 0, 18867, 0, 12174, 0, 7442, 0, 4007, 0, 2121, 0, 918, 0, 432, 0, 165, 0, 58, 0, 13, 0, 1, 0, 0, 0, 0
2000000, 14111, 0, 92035, 0, 160782, 0, 187822, 0, 196531, 0, 199395, 0, 196901, 0, 186324, 0, 170716, 0, 148802, 0, 124247, 0, 99755, 0, 75550, 0, 54981, 0, 37529, 0, 24211, 0, 14712, 0, 8103, 0, 4193, 0, 1915, 0, 896, 0, 339, 0, 111, 0, 35, 0, 4, 0, 0, 0, 0
3000000, 21196, 0, 138181, 0, 240978, 0, 281381, 0, 294726, 0, 299149, 0, 295583, 0, 279637, 0, 255645, 0, 223154, 0, 186384, 0, 149489, 0, 113448, 0, 82498, 0, 56624, 0, 36294, 0, 22140, 0, 12179, 0, 6320, 0, 2994, 0, 1290, 0, 494, 0, 158, 0, 52, 0, 5, 0, 1, 0, 0
4000000, 28251, 0, 184339, 0, 321528, 0, 375352, 0, 392866, 0, 399022, 0, 394015, 0, 372587, 0, 340643, 0, 297118, 0, 248664, 0, 199117, 0, 151485, 0, 110043, 0, 75583, 0, 48494, 0, 29457, 0, 16368, 0, 8427, 0, 3969, 0, 1719, 0, 645, 0, 228, 0, 70, 0, 9, 0, 1, 0, 0
5000000, 35252, 0, 230004, 0, 401926, 0, 469444, 0, 490478, 0, 498464, 0, 492428, 0, 465892, 0, 426025, 0, 371477, 0, 311409, 0, 248887, 0, 189637, 0, 137125, 0, 94524, 0, 60793, 0, 36935, 0, 20453, 0, 10566, 0, 4985, 0, 2124, 0, 802, 0, 279, 0, 78, 0, 11, 0, 2, 0, 0
6000000, 42317, 0, 275850, 0, 482149, 0, 563075, 0, 588772, 0, 598103, 0, 591015, 0, 559077, 0, 511206, 0, 445838, 0, 373614, 0, 298661, 0, 227666, 0, 164939, 0, 113374, 0, 72812, 0, 44292, 0, 24569, 0, 12696, 0, 6042, 0, 2541, 0, 957, 0, 328, 0, 91, 0, 14, 0, 2, 0, 0
7000000, 49410, 0, 321504, 0, 562021, 0, 657085, 0, 687007, 0, 697820, 0, 689819, 0, 652480, 0, 595941, 0, 520531, 0, 435968, 0, 348420, 0, 265793, 0, 192364, 0, 132008, 0, 85153, 0, 51624, 0, 28677, 0, 14722, 0, 7025, 0, 2996, 0, 1114, 0, 387, 0, 112, 0, 17, 0, 2, 0, 0
8000000, 56533, 0, 367777, 0, 642018, 0, 751182, 0, 785355, 0, 798109, 0, 788178, 0, 745346, 0, 680940, 0, 594759, 0, 498098, 0, 398002, 0, 303926, 0, 219874, 0, 150895, 0, 97149, 0, 58880, 0, 32878, 0, 16767, 0, 8037, 0, 3449, 0, 1268, 0, 437, 0, 122, 0, 19, 0, 2, 0, 0
9000000, 63586, 0, 413784, 0, 722244, 0, 844813, 0, 883342, 0, 898344, 0, 887336, 0, 838491, 0, 765753, 0, 668960, 0, 560171, 0, 447768, 0, 341942, 0, 247331, 0, 169595, 0, 109409, 0, 66250, 0, 36964, 0, 18888, 0, 9069, 0, 3878, 0, 1422, 0, 491, 0, 145, 0, 22, 0, 2, 0, 0
10000000, 70521, 0, 459616, 0, 802535, 0, 938723, 0, 981731, 0, 998380, 0, 986378, 0, 931635, 0, 850662, 0, 743208, 0, 622689, 0, 497164, 0, 379634, 0, 274488, 0, 188727, 0, 121543, 0, 73554, 0, 41011, 0, 21019, 0, 10087, 0, 4365, 0, 1594, 0, 553, 0, 157, 0, 24, 0, 2, 0, 0
20000000, 140920, 0, 918762, 0, 1603763, 0, 1877285, 0, 1963602, 0, 1997292, 0, 1972955, 0, 1864050, 0, 1700194, 0, 1485751, 0, 1244506, 0, 996225, 0, 760159, 0, 549622, 0, 376655, 0, 243362, 0, 147049, 0, 81935, 0, 42368, 0, 20279, 0, 8655, 0, 3185, 0, 1071, 0, 300, 0, 49, 0, 6, 0, 0
30000000, 211231, 0, 1380391, 0, 2406364, 0, 2815257, 0, 2946410, 0, 2995587, 0, 2958059, 0, 2797771, 0, 2549892, 0, 2227032, 0, 1866801, 0, 1494652, 0, 1140022, 0, 824512, 0, 564490, 0, 364563, 0, 220401, 0, 122975, 0, 63456, 0, 30331, 0, 12898, 0, 4793, 0, 1564, 0, 450, 0, 86, 0, 12, 0, 0
40000000, 282236, 0, 1840922, 0, 3207786, 0, 3752682, 0, 3929110, 0, 3993994, 0, 3942505, 0, 3730751, 0, 3399742, 0, 2971356, 0, 2488946, 0, 1993016, 0, 1520115, 0, 1099180, 0, 752480, 0, 486013, 0, 293373, 0, 164317, 0, 84463, 0, 40551, 0, 17188, 0, 6391, 0, 2146, 0, 599, 0, 124, 0, 14, 0, 0
50000000, 352818, 0, 2300086, 0, 4009125, 0, 4690936, 0, 4912074, 0, 4991826, 0, 4927600, 0, 4664663, 0, 4250075, 0, 3713954, 0, 3109630, 0, 2492816, 0, 1899809, 0, 1374479, 0, 940823, 0, 607411, 0, 366748, 0, 205486, 0, 105899, 0, 50602, 0, 21483, 0, 8029, 0, 2682, 0, 773, 0, 150, 0, 23, 0, 0
60000000, 423281, 0, 2760236, 0, 4812037, 0, 5629715, 0, 5893338, 0, 5989972, 0, 5915411, 0, 5599059, 0, 5099744, 0, 4456262, 0, 3730699, 0, 2990774, 0, 2278422, 0, 1649485, 0, 1129369, 0, 728007, 0, 439970, 0, 246715, 0, 127316, 0, 60586, 0, 25736, 0, 9543, 0, 3188, 0, 924, 0, 185, 0, 26, 0, 0
70000000, 494035, 0, 3219478, 0, 5614097, 0, 6569112, 0, 6874754, 0, 6989258, 0, 6901046, 0, 6531114, 0, 5950433, 0, 5198044, 0, 4352587, 0, 3489130, 0, 2658228, 0, 1924638, 0, 1317720, 0, 849877, 0, 513282, 0, 287399, 0, 148660, 0, 70805, 0, 30101, 0, 11157, 0, 3720, 0, 1079, 0, 215, 0, 29, 0, 2
