runs, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52
100, 0, 0, 4, 0, 4, 0, 18, 0, 18, 0, 10, 0, 6, 0, 8, 0, 12, 0, 3, 0, 4, 0, 1, 0, 4, 0, 4, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 0, 0, 10, 0, 17, 0, 25, 0, 33, 0, 18, 0, 19, 0, 18, 0, 19, 0, 9, 0, 7, 0, 3, 0, 7, 0, 8, 0, 2, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, 1, 0, 12, 0, 20, 0, 38, 0, 41, 0, 26, 0, 30, 0, 26, 0, 31, 0, 18, 0, 16, 0, 7, 0, 14, 0, 9, 0, 6, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, 1, 0, 16, 0, 26, 0, 48, 0, 49, 0, 38, 0, 39, 0, 32, 0, 41, 0, 27, 0, 23, 0, 14, 0, 16, 0, 13, 0, 8, 0, 4, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, 1, 0, 23, 0, 31, 0, 58, 0, 60, 0, 45, 0, 47, 0, 41, 0, 49, 0, 35, 0, 32, 0, 18, 0, 19, 0, 15, 0, 11, 0, 8, 0, 2, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
600, 4, 0, 27, 0, 42, 0, 64, 0, 66, 0, 59, 0, 60, 0, 49, 0, 59, 0, 37, 0, 37, 0, 24, 0, 23, 0, 16, 0, 16, 0, 9, 0, 3, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
700, 5, 0, 33, 0, 50, 0, 73, 0, 79, 0, 74, 0, 64, 0, 57, 0, 70, 0, 42, 0, 43, 0, 26, 0, 29, 0, 19, 0, 17, 0, 9, 0, 3, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
800, 6, 0, 39, 0, 58, 0, 81, 0, 85, 0, 79, 0, 76, 0, 68, 0, 81, 0, 48, 0, 47, 0, 34, 0, 34, 0, 23, 0, 19, 0, 11, 0, 4, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
900, 6, 0, 44, 0, 67, 0, 84, 0, 92, 0, 93, 0, 91, 0, 76, 0, 90, 0, 51, 0, 59, 0, 37, 0, 37, 0, 25, 0, 24, 0, 12, 0, 5, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1000, 7, 0, 54, 0, 76, 0, 88, 0, 99, 0, 101, 0, 100, 0, 90, 0, 104, 0, 56, 0, 63, 0, 39, 0, 42, 0, 29, 0, 26, 0, 12, 0, 6, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
