runs, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52
100, 2, 0, 3, 0, 5, 0, 10, 0, 12, 0, 9, 0, 7, 0, 15, 0, 9, 0, 6, 0, 7, 0, 6, 0, 3, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 3, 0, 5, 0, 9, 0, 20, 0, 23, 0, 24, 0, 17, 0, 28, 0, 20, 0, 6, 0, 15, 0, 9, 0, 6, 0, 5, 0, 5, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, 4, 0, 10, 0, 15, 0, 29, 0, 37, 0, 35, 0, 24, 0, 37, 0, 26, 0, 17, 0, 18, 0, 16, 0, 11, 0, 7, 0, 8, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, 6, 0, 13, 0, 26, 0, 46, 0, 42, 0, 39, 0, 35, 0, 49, 0, 37, 0, 24, 0, 22, 0, 21, 0, 16, 0, 7, 0, 10, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, 6, 0, 17, 0, 34, 0, 64, 0, 51, 0, 45, 0, 41, 0, 61, 0, 48, 0, 30, 0, 29, 0, 24, 0, 20, 0, 8, 0, 13, 0, 5, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
600, 7, 0, 22, 0, 38, 0, 72, 0, 66, 0, 52, 0, 49, 0, 69, 0, 59, 0, 37, 0, 37, 0, 32, 0, 20, 0, 13, 0, 14, 0, 6, 0, 3, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
700, 9, 0, 28, 0, 44, 0, 77, 0, 72, 0, 66, 0, 60, 0, 78, 0, 70, 0, 43, 0, 40, 0, 40, 0, 26, 0, 15, 0, 15, 0, 7, 0, 5, 0, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
800, 9, 0, 34, 0, 47, 0, 87, 0, 80, 0, 80, 0, 69, 0, 85, 0, 83, 0, 48, 0, 48, 0, 42, 0, 36, 0, 17, 0, 17, 0, 7, 0, 6, 0, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
900, 10, 0, 39, 0, 54, 0, 92, 0, 81, 0, 94, 0, 79, 0, 100, 0, 93, 0, 55, 0, 57, 0, 48, 0, 42, 0, 19, 0, 17, 0, 8, 0, 7, 0, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1000, 10, 0, 44, 0, 63, 0, 96, 0, 89, 0, 102, 0, 97, 0, 107, 0, 104, 0, 63, 0, 64, 0, 53, 0, 47, 0, 23, 0, 18, 0, 8, 0, 7, 0, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
