runs, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52
100, 0, 0, 4, 0, 6, 0, 13, 0, 10, 0, 10, 0, 12, 0, 9, 0, 6, 0, 5, 0, 5, 0, 6, 0, 4, 0, 3, 0, 4, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 0, 0, 9, 0, 18, 0, 24, 0, 22, 0, 16, 0, 25, 0, 15, 0, 19, 0, 10, 0, 9, 0, 12, 0, 5, 0, 5, 0, 7, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, 1, 0, 13, 0, 27, 0, 31, 0, 32, 0, 26, 0, 36, 0, 29, 0, 28, 0, 15, 0, 14, 0, 15, 0, 10, 0, 8, 0, 9, 0, 0, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, 2, 0, 13, 0, 39, 0, 41, 0, 40, 0, 33, 0, 48, 0, 41, 0, 37, 0, 20, 0, 24, 0, 20, 0, 14, 0, 9, 0, 11, 0, 0, 0, 3, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, 4, 0, 23, 0, 44, 0, 45, 0, 56, 0, 45, 0, 60, 0, 50, 0, 42, 0, 28, 0, 27, 0, 27, 0, 16, 0, 9, 0, 14, 0, 0, 0, 4, 0, 1, 0, 3, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
600, 5, 0, 27, 0, 54, 0, 48, 0, 67, 0, 52, 0, 71, 0, 59, 0, 49, 0, 42, 0, 29, 0, 35, 0, 21, 0, 14, 0, 16, 0, 1, 0, 4, 0, 1, 0, 3, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
700, 5, 0, 33, 0, 65, 0, 65, 0, 75, 0, 61, 0, 78, 0, 65, 0, 57, 0, 47, 0, 35, 0, 39, 0, 25, 0, 17, 0, 21, 0, 1, 0, 5, 0, 1, 0, 3, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
800, 5, 0, 38, 0, 76, 0, 74, 0, 81, 0, 74, 0, 85, 0, 72, 0, 62, 0, 60, 0, 43, 0, 42, 0, 29, 0, 20, 0, 21, 0, 3, 0, 6, 0, 3, 0, 3, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
900, 5, 0, 42, 0, 84, 0, 82, 0, 92, 0, 85, 0, 93, 0, 80, 0, 71, 0, 65, 0, 54, 0, 47, 0, 33, 0, 26, 0, 22, 0, 3, 0, 6, 0, 3, 0, 4, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1000, 5, 0, 45, 0, 92, 0, 92, 0, 105, 0, 98, 0, 100, 0, 91, 0, 82, 0, 73, 0, 60, 0, 54, 0, 34, 0, 26, 0, 22, 0, 3, 0, 6, 0, 4, 0, 5, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2000, 10, 0, 95, 0, 183, 0, 180, 0, 209, 0, 197, 0, 188, 0, 177, 0, 175, 0, 149, 0, 123, 0, 105, 0, 67, 0, 55, 0, 39, 0, 13, 0, 18, 0, 6, 0, 8, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3000, 15, 0, 145, 0, 280, 0, 262, 0, 327, 0, 291, 0, 285, 0, 257, 0, 256, 0, 233, 0, 188, 0, 149, 0, 102, 0, 80, 0, 56, 0, 18, 0, 29, 0, 8, 0, 10, 0, 4, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
4000, 24, 0, 192, 0, 365, 0, 353, 0, 426, 0, 400, 0, 398, 0, 346, 0, 334, 0, 303, 0, 254, 0, 197, 0, 131, 0, 109, 0, 72, 0, 30, 0, 34, 0, 11, 0, 11, 0, 4, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
5000, 25, 0, 239, 0, 438, 0, 457, 0, 533, 0, 503, 0, 496, 0, 434, 0, 420, 0, 368, 0, 319, 0, 246, 0, 168, 0, 144, 0, 86, 0, 47, 0, 40, 0, 13, 0, 14, 0, 4, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
6000, 32, 0, 283, 0, 501, 0, 561, 0, 627, 0, 607, 0, 591, 0, 525, 0, 503, 0, 450, 0, 387, 0, 295, 0, 213, 0, 168, 0, 109, 0, 56, 0, 46, 0, 19, 0, 14, 0, 6, 0, 4, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
7000, 38, 0, 322, 0, 581, 0, 654, 0, 725, 0, 709, 0, 688, 0, 611, 0, 603, 0, 535, 0, 454, 0, 332, 0, 247, 0, 187, 0, 130, 0, 73, 0, 54, 0, 24, 0, 17, 0, 8, 0, 5, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
8000, 43, 0, 368, 0, 663, 0, 749, 0, 809, 0, 816, 0, 779, 0, 705, 0, 682, 0, 619, 0, 527, 0, 378, 0, 292, 0, 212, 0, 145, 0, 88, 0, 59, 0, 29, 0, 19, 0, 9, 0, 6, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
9000, 46, 0, 423, 0, 760, 0, 844, 0, 890, 0, 927, 0, 884, 0, 795, 0, 768, 0, 677, 0, 591, 0, 420, 0, 332, 0, 234, 0, 168, 0, 100, 0, 70, 0, 33, 0, 19, 0, 9, 0, 7, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
10000, 51, 0, 456, 0, 837, 0, 933, 0, 977, 0, 1022, 0, 990, 0, 900, 0, 850, 0, 766, 0, 651, 0, 478, 0, 377, 0, 256, 0, 187, 0, 111, 0, 79, 0, 37, 0, 22, 0, 10, 0, 7, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
20000, 121, 0, 913, 0, 1672, 0, 1878, 0, 1978, 0, 2029, 0, 2021, 0, 1782, 0, 1701, 0, 1545, 0, 1274, 0, 982, 0, 724, 0, 524, 0, 347, 0, 215, 0, 149, 0, 83, 0, 32, 0, 15, 0, 10, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
30000, 180, 0, 1360, 0, 2478, 0, 2822, 0, 2953, 0, 3016, 0, 3042, 0, 2702, 0, 2539, 0, 2290, 0, 1915, 0, 1475, 0, 1117, 0, 788, 0, 533, 0, 330, 0, 228, 0, 133, 0, 56, 0, 24, 0, 12, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
40000, 254, 0, 1833, 0, 3311, 0, 3781, 0, 3963, 0, 4011, 0, 3992, 0, 3592, 0, 3365, 0, 3050, 0, 2560, 0, 1964, 0, 1496, 0, 1046, 0, 709, 0, 458, 0, 305, 0, 177, 0, 75, 0, 32, 0, 14, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0
