runs, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52
100, 0, 0, 4, 0, 7, 0, 11, 0, 13, 0, 9, 0, 8, 0, 7, 0, 10, 0, 5, 0, 10, 0, 2, 0, 6, 0, 4, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 4, 0, 7, 0, 15, 0, 18, 0, 25, 0, 19, 0, 14, 0, 15, 0, 18, 0, 10, 0, 18, 0, 12, 0, 8, 0, 8, 0, 6, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, 5, 0, 10, 0, 21, 0, 28, 0, 37, 0, 29, 0, 28, 0, 24, 0, 26, 0, 13, 0, 27, 0, 20, 0, 10, 0, 10, 0, 6, 0, 3, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, 5, 0, 14, 0, 29, 0, 33, 0, 46, 0, 41, 0, 32, 0, 39, 0, 31, 0, 21, 0, 37, 0, 24, 0, 14, 0, 15, 0, 11, 0, 4, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, 6, 0, 20, 0, 36, 0, 42, 0, 57, 0, 51, 0, 43, 0, 45, 0, 38, 0, 30, 0, 40, 0, 30, 0, 19, 0, 22, 0, 12, 0, 4, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
600, 8, 0, 26, 0, 42, 0, 51, 0, 65, 0, 61, 0, 53, 0, 51, 0, 49, 0, 36, 0, 45, 0, 34, 0, 23, 0, 25, 0, 15, 0, 7, 0, 5, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
700, 9, 0, 31, 0, 52, 0, 60, 0, 69, 0, 70, 0, 59, 0, 63, 0, 59, 0, 46, 0, 54, 0, 39, 0, 27, 0, 27, 0, 16, 0, 10, 0, 5, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
800, 11, 0, 34, 0, 63, 0, 72, 0, 77, 0, 81, 0, 68, 0, 73, 0, 70, 0, 52, 0, 59, 0, 42, 0, 27, 0, 33, 0, 17, 0, 10, 0, 7, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
900, 11, 0, 37, 0, 72, 0, 80, 0, 85, 0, 90, 0, 79, 0, 91, 0, 81, 0, 54, 0, 65, 0, 44, 0, 30, 0, 37, 0, 20, 0, 12, 0, 7, 0, 3, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1000, 11, 0, 43, 0, 81, 0, 86, 0, 91, 0, 102, 0, 84, 0, 96, 0, 91, 0, 62, 0, 79, 0, 50, 0, 31, 0, 40, 0, 23, 0, 16, 0, 7, 0, 5, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
