runs, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52
100, 3, 0, 3, 0, 9, 0, 7, 0, 15, 0, 9, 0, 7, 0, 9, 0, 9, 0, 9, 0, 6, 0, 6, 0, 2, 0, 3, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 3, 0, 9, 0, 18, 0, 18, 0, 24, 0, 13, 0, 19, 0, 23, 0, 18, 0, 15, 0, 10, 0, 12, 0, 5, 0, 5, 0, 1, 0, 2, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, 4, 0, 13, 0, 26, 0, 25, 0, 35, 0, 26, 0, 32, 0, 29, 0, 26, 0, 22, 0, 16, 0, 14, 0, 8, 0, 11, 0, 4, 0, 3, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, 6, 0, 17, 0, 38, 0, 36, 0, 44, 0, 35, 0, 42, 0, 36, 0, 35, 0, 28, 0, 22, 0, 18, 0, 13, 0, 13, 0, 5, 0, 3, 0, 5, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, 7, 0, 21, 0, 45, 0, 48, 0, 59, 0, 44, 0, 52, 0, 45, 0, 43, 0, 31, 0, 31, 0, 25, 0, 14, 0, 14, 0, 8, 0, 3, 0, 6, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
600, 8, 0, 29, 0, 51, 0, 59, 0, 67, 0, 52, 0, 59, 0, 60, 0, 55, 0, 38, 0, 35, 0, 27, 0, 17, 0, 16, 0, 13, 0, 3, 0, 7, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
700, 8, 0, 33, 0, 58, 0, 67, 0, 78, 0, 67, 0, 65, 0, 74, 0, 63, 0, 49, 0, 41, 0, 30, 0, 20, 0, 17, 0, 15, 0, 3, 0, 8, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
800, 9, 0, 40, 0, 65, 0, 78, 0, 85, 0, 79, 0, 80, 0, 83, 0, 67, 0, 56, 0, 48, 0, 34, 0, 21, 0, 20, 0, 16, 0, 5, 0, 8, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
900, 9, 0, 46, 0, 73, 0, 89, 0, 97, 0, 89, 0, 94, 0, 87, 0, 76, 0, 63, 0, 53, 0, 37, 0, 26, 0, 25, 0, 16, 0, 5, 0, 9, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1000, 10, 0, 53, 0, 81, 0, 98, 0, 108, 0, 101, 0, 104, 0, 93, 0, 85, 0, 70, 0, 59, 0, 42, 0, 29, 0, 27, 0, 17, 0, 7, 0, 9, 0, 4, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2000, 14, 0, 85, 0, 161, 0, 205, 0, 218, 0, 198, 0, 205, 0, 173, 0, 181, 0, 145, 0, 128, 0, 94, 0, 56, 0, 49, 0, 37, 0, 23, 0, 17, 0, 8, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3000, 18, 0, 128, 0, 232, 0, 308, 0, 312, 0, 297, 0, 314, 0, 271, 0, 272, 0, 209, 0, 185, 0, 145, 0, 97, 0, 73, 0, 55, 0, 40, 0, 24, 0, 15, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4000, 23, 0, 170, 0, 333, 0, 401, 0, 405, 0, 389, 0, 422, 0, 366, 0, 349, 0, 281, 0, 242, 0, 192, 0, 140, 0, 110, 0, 70, 0, 46, 0, 33, 0, 21, 0, 5, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5000, 30, 0, 218, 0, 412, 0, 490, 0, 504, 0, 479, 0, 516, 0, 472, 0, 427, 0, 363, 0, 303, 0, 243, 0, 175, 0, 140, 0, 87, 0, 60, 0, 40, 0, 29, 0, 6, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6000, 38, 0, 262, 0, 476, 0, 587, 0, 602, 0, 580, 0, 606, 0, 569, 0, 525, 0, 439, 0, 369, 0, 292, 0, 212, 0, 164, 0, 109, 0, 73, 0, 47, 0, 33, 0, 10, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7000, 50, 0, 308, 0, 550, 0, 673, 0, 696, 0, 687, 0, 701, 0, 661, 0, 604, 0, 519, 0, 433, 0, 356, 0, 253, 0, 191, 0, 121, 0, 88, 0, 55, 0, 35, 0, 11, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
