runs, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52
100, 0, 0, 7, 0, 12, 0, 13, 0, 11, 0, 8, 0, 8, 0, 11, 0, 6, 0, 5, 0, 2, 0, 3, 0, 5, 0, 6, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 2, 0, 10, 0, 21, 0, 20, 0, 20, 0, 16, 0, 19, 0, 19, 0, 17, 0, 11, 0, 6, 0, 9, 0, 10, 0, 8, 0, 6, 0, 4, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, 2, 0, 15, 0, 29, 0, 28, 0, 28, 0, 25, 0, 30, 0, 30, 0, 20, 0, 20, 0, 13, 0, 12, 0, 17, 0, 14, 0, 9, 0, 4, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, 3, 0, 17, 0, 35, 0, 40, 0, 34, 0, 39, 0, 40, 0, 35, 0, 29, 0, 26, 0, 20, 0, 22, 0, 21, 0, 17, 0, 11, 0, 5, 0, 3, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, 3, 0, 19, 0, 44, 0, 47, 0, 39, 0, 48, 0, 53, 0, 46, 0, 42, 0, 32, 0, 29, 0, 30, 0, 25, 0, 19, 0, 12, 0, 6, 0, 3, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
600, 3, 0, 22, 0, 53, 0, 59, 0, 52, 0, 54, 0, 61, 0, 52, 0, 54, 0, 42, 0, 40, 0, 33, 0, 27, 0, 20, 0, 14, 0, 6, 0, 4, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
700, 5, 0, 25, 0, 64, 0, 68, 0, 60, 0, 58, 0, 70, 0, 61, 0, 66, 0, 52, 0, 46, 0, 40, 0, 32, 0, 20, 0, 17, 0, 6, 0, 5, 0, 3, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
800, 6, 0, 28, 0, 74, 0, 78, 0, 73, 0, 65, 0, 77, 0, 74, 0, 72, 0, 60, 0, 54, 0, 45, 0, 34, 0, 22, 0, 21, 0, 7, 0, 5, 0, 3, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
900, 6, 0, 34, 0, 81, 0, 89, 0, 84, 0, 76, 0, 84, 0, 84, 0, 84, 0, 65, 0, 58, 0, 53, 0, 36, 0, 22, 0, 22, 0, 10, 0, 6, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1000, 6, 0, 37, 0, 87, 0, 95, 0, 100, 0, 82, 0, 98, 0, 91, 0, 95, 0, 74, 0, 62, 0, 55, 0, 45, 0, 24, 0, 25, 0, 11, 0, 6, 0, 5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
