runs, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52
100, 0, 0, 6, 0, 5, 0, 6, 0, 11, 0, 8, 0, 9, 0, 12, 0, 12, 0, 7, 0, 7, 0, 4, 0, 5, 0, 2, 0, 4, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 1, 0, 9, 0, 14, 0, 11, 0, 22, 0, 17, 0, 14, 0, 25, 0, 17, 0, 17, 0, 15, 0, 12, 0, 10, 0, 3, 0, 7, 0, 3, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
300, 1, 0, 12, 0, 24, 0, 16, 0, 30, 0, 32, 0, 20, 0, 36, 0, 28, 0, 30, 0, 21, 0, 18, 0, 12, 0, 5, 0, 7, 0, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
400, 2, 0, 18, 0, 28, 0, 27, 0, 46, 0, 41, 0, 32, 0, 42, 0, 38, 0, 36, 0, 28, 0, 23, 0, 14, 0, 6, 0, 10, 0, 5, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
500, 2, 0, 23, 0, 36, 0, 35, 0, 52, 0, 55, 0, 41, 0, 51, 0, 48, 0, 40, 0, 36, 0, 29, 0, 18, 0, 9, 0, 15, 0, 5, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
600, 3, 0, 25, 0, 44, 0, 40, 0, 62, 0, 63, 0, 56, 0, 58, 0, 61, 0, 53, 0, 42, 0, 34, 0, 20, 0, 13, 0, 15, 0, 6, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
700, 4, 0, 29, 0, 51, 0, 53, 0, 71, 0, 73, 0, 63, 0, 68, 0, 71, 0, 59, 0, 46, 0, 39, 0, 24, 0, 17, 0, 18, 0, 7, 0, 2, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
800, 5, 0, 34, 0, 57, 0, 65, 0, 83, 0, 85, 0, 76, 0, 74, 0, 75, 0, 69, 0, 51, 0, 41, 0, 27, 0, 23, 0, 19, 0, 7, 0, 3, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
900, 5, 0, 40, 0, 66, 0, 77, 0, 89, 0, 90, 0, 94, 0, 81, 0, 82, 0, 75, 0, 55, 0, 48, 0, 31, 0, 29, 0, 20, 0, 9, 0, 3, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
1000, 6, 0, 47, 0, 80, 0, 85, 0, 96, 0, 103, 0, 102, 0, 93, 0, 89, 0, 84, 0, 59, 0, 51, 0, 34, 0, 31, 0, 20, 0, 10, 0, 3, 0, 2, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
