runs, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52
100, 1, 0, 8, 0, 6, 0, 8, 0, 11, 0, 13, 0, 7, 0, 9, 0, 7, 0, 7, 0, 7, 0, 2, 0, 5, 0, 2, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 1, 0, 11, 0, 11, 0, 20, 0, 24, 0, 27, 0, 16, 0, 17, 0, 14, 0, 16, 0, 18, 0, 5, 0, 9, 0, 3, 0, 4, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, 1, 0, 15, 0, 16, 0, 32, 0, 38, 0, 39, 0, 24, 0, 25, 0, 22, 0, 26, 0, 21, 0, 10, 0, 11, 0, 7, 0, 6, 0, 5, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, 1, 0, 23, 0, 24, 0, 40, 0, 47, 0, 47, 0, 32, 0, 34, 0, 33, 0, 37, 0, 23, 0, 14, 0, 12, 0, 11, 0, 6, 0, 6, 0, 5, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, 3, 0, 27, 0, 31, 0, 48, 0, 54, 0, 62, 0, 36, 0, 43, 0, 46, 0, 46, 0, 31, 0, 19, 0, 17, 0, 14, 0, 7, 0, 6, 0, 5, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
600, 5, 0, 29, 0, 44, 0, 55, 0, 60, 0, 76, 0, 47, 0, 52, 0, 52, 0, 54, 0, 39, 0, 20, 0, 22, 0, 18, 0, 9, 0, 6, 0, 7, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
700, 5, 0, 32, 0, 57, 0, 68, 0, 68, 0, 86, 0, 60, 0, 57, 0, 62, 0, 61, 0, 44, 0, 22, 0, 26, 0, 19, 0, 13, 0, 8, 0, 7, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
800, 5, 0, 39, 0, 70, 0, 73, 0, 77, 0, 92, 0, 69, 0, 63, 0, 71, 0, 69, 0, 50, 0, 29, 0, 31, 0, 23, 0, 16, 0, 9, 0, 8, 0, 2, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
900, 5, 0, 45, 0, 80, 0, 82, 0, 89, 0, 103, 0, 81, 0, 67, 0, 74, 0, 78, 0, 58, 0, 35, 0, 36, 0, 24, 0, 18, 0, 11, 0, 8, 0, 2, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1000, 6, 0, 51, 0, 86, 0, 93, 0, 96, 0, 106, 0, 96, 0, 78, 0, 83, 0, 87, 0, 65, 0, 37, 0, 44, 0, 27, 0, 18, 0, 11, 0, 8, 0, 3, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2000, 16, 0, 102, 0, 166, 0, 184, 0, 181, 0, 207, 0, 202, 0, 173, 0, 171, 0, 171, 0, 124, 0, 75, 0, 80, 0, 53, 0, 40, 0, 22, 0, 14, 0, 10, 0, 8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3000, 22, 0, 151, 0, 240, 0, 263, 0, 278, 0, 314, 0, 317, 0, 265, 0, 267, 0, 241, 0, 182, 0, 130, 0, 119, 0, 76, 0, 58, 0, 32, 0, 19, 0, 14, 0, 9, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4000, 28, 0, 190, 0, 335, 0, 354, 0, 359, 0, 419, 0, 413, 0, 351, 0, 350, 0, 324, 0, 240, 0, 168, 0, 169, 0, 111, 0, 79, 0, 49, 0, 25, 0, 18, 0, 12, 0, 3, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5000, 29, 0, 235, 0, 415, 0, 447, 0, 466, 0, 497, 0, 517, 0, 446, 0, 435, 0, 420, 0, 302, 0, 222, 0, 207, 0, 129, 0, 95, 0, 60, 0, 34, 0, 25, 0, 13, 0, 3, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6000, 36, 0, 281, 0, 483, 0, 538, 0, 560, 0, 599, 0, 604, 0, 549, 0, 517, 0, 490, 0, 376, 0, 285, 0, 240, 0, 151, 0, 114, 0, 75, 0, 43, 0, 33, 0, 18, 0, 4, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7000, 43, 0, 309, 0, 557, 0, 640, 0, 650, 0, 704, 0, 696, 0, 647, 0, 618, 0, 574, 0, 446, 0, 333, 0, 280, 0, 171, 0, 130, 0, 88, 0, 47, 0, 37, 0, 22, 0, 4, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8000, 57, 0, 359, 0, 632, 0, 737, 0, 755, 0, 793, 0, 790, 0, 730, 0, 710, 0, 651, 0, 506, 0, 378, 0, 313, 0, 194, 0, 154, 0, 104, 0, 56, 0, 43, 0, 29, 0, 5, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9000, 67, 0, 407, 0, 715, 0, 831, 0, 848, 0, 901, 0, 890, 0, 813, 0, 799, 0, 718, 0, 580, 0, 444, 0, 349, 0, 212, 0, 167, 0, 112, 0, 61, 0, 46, 0, 31, 0, 5, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10000, 72, 0, 450, 0, 792, 0, 911, 0, 951, 0, 1008, 0, 982, 0, 939, 0, 895, 0, 781, 0, 631, 0, 490, 0, 382, 0, 244, 0, 190, 0, 121, 0, 68, 0, 47, 0, 34, 0, 7, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20000, 144, 0, 944, 0, 1587, 0, 1885, 0, 1898, 0, 1976, 0, 2000, 0, 1891, 0, 1720, 0, 1488, 0, 1247, 0, 1021, 0, 739, 0, 532, 0, 367, 0, 248, 0, 146, 0, 85, 0, 57, 0, 11, 0, 9, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
30000, 212, 0, 1406, 0, 2320, 0, 2811, 0, 2842, 0, 2959, 0, 3015, 0, 2888, 0, 2560, 0, 2235, 0, 1903, 0, 1539, 0, 1107, 0, 813, 0, 561, 0, 364, 0, 218, 0, 128, 0, 76, 0, 24, 0, 12, 0, 5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
40000, 286, 0, 1847, 0, 3131, 0, 3726, 0, 3843, 0, 3992, 0, 3992, 0, 3788, 0, 3364, 0, 2967, 0, 2594, 0, 2039, 0, 1493, 0, 1119, 0, 735, 0, 473, 0, 284, 0, 167, 0, 97, 0, 36, 0, 16, 0, 8, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0
