runs, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52
100, 1, 0, 3, 0, 6, 0, 8, 0, 12, 0, 17, 0, 9, 0, 8, 0, 8, 0, 5, 0, 5, 0, 2, 0, 8, 0, 4, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 2, 0, 5, 0, 16, 0, 19, 0, 20, 0, 25, 0, 24, 0, 19, 0, 13, 0, 13, 0, 10, 0, 8, 0, 10, 0, 5, 0, 4, 0, 3, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, 3, 0, 9, 0, 22, 0, 31, 0, 25, 0, 38, 0, 34, 0, 29, 0, 22, 0, 19, 0, 16, 0, 14, 0, 14, 0, 8, 0, 4, 0, 7, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, 3, 0, 9, 0, 36, 0, 33, 0, 41, 0, 43, 0, 46, 0, 37, 0, 30, 0, 31, 0, 19, 0, 17, 0, 21, 0, 11, 0, 8, 0, 9, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, 3, 0, 13, 0, 48, 0, 44, 0, 55, 0, 51, 0, 56, 0, 48, 0, 39, 0, 37, 0, 26, 0, 19, 0, 24, 0, 12, 0, 9, 0, 10, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
600, 3, 0, 24, 0, 59, 0, 53, 0, 60, 0, 59, 0, 64, 0, 57, 0, 46, 0, 46, 0, 33, 0, 23, 0, 27, 0, 14, 0, 12, 0, 12, 0, 5, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
700, 4, 0, 33, 0, 66, 0, 63, 0, 70, 0, 73, 0, 71, 0, 66, 0, 54, 0, 53, 0, 41, 0, 29, 0, 27, 0, 15, 0, 13, 0, 13, 0, 5, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
800, 4, 0, 37, 0, 73, 0, 73, 0, 77, 0, 83, 0, 84, 0, 78, 0, 65, 0, 57, 0, 47, 0, 32, 0, 33, 0, 17, 0, 13, 0, 15, 0, 6, 0, 3, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
900, 5, 0, 39, 0, 79, 0, 81, 0, 85, 0, 100, 0, 87, 0, 88, 0, 73, 0, 66, 0, 56, 0, 38, 0, 40, 0, 18, 0, 13, 0, 17, 0, 6, 0, 4, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1000, 5, 0, 43, 0, 82, 0, 92, 0, 97, 0, 109, 0, 96, 0, 99, 0, 91, 0, 73, 0, 62, 0, 41, 0, 44, 0, 20, 0, 13, 0, 18, 0, 6, 0, 4, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2000, 13, 0, 84, 0, 175, 0, 168, 0, 214, 0, 207, 0, 192, 0, 188, 0, 182, 0, 150, 0, 123, 0, 91, 0, 79, 0, 48, 0, 29, 0, 28, 0, 14, 0, 7, 0, 5, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3000, 22, 0, 129, 0, 249, 0, 260, 0, 324, 0, 300, 0, 302, 0, 281, 0, 255, 0, 224, 0, 182, 0, 143, 0, 114, 0, 85, 0, 47, 0, 44, 0, 19, 0, 11, 0, 6, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4000, 25, 0, 183, 0, 330, 0, 353, 0, 430, 0, 388, 0, 391, 0, 388, 0, 338, 0, 305, 0, 238, 0, 192, 0, 146, 0, 111, 0, 69, 0, 60, 0, 22, 0, 17, 0, 8, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5000, 29, 0, 225, 0, 413, 0, 456, 0, 516, 0, 488, 0, 499, 0, 477, 0, 416, 0, 380, 0, 298, 0, 236, 0, 183, 0, 153, 0, 90, 0, 73, 0, 25, 0, 23, 0, 14, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
